userId|equity|cost|shares|TR|PD|AV
1|'5245.08'|'2530.85'|256|'259.65'|'55.75'|13.33
2|'14500.03'|'5999.03'|265|'546.10'|'74.11'|6
3|'5450.03'|'3513.86'|163|'1978.24'|'96.70'|13.06
4|'16525.42'|'3246.95'|147|'258.32'|'0.05'|3.88
5|'13879.47'|'8189.00'|214|'849.59'|'49.23'|24.58
6|'15796.30'|'5794.72'|170|'354.46'|'13.15'|27.75
7|'13438.94'|'2732.06'|122|'1283.39'|'85.48'|17.18
8|'14558.28'|'4850.94'|59|'1605.74'|'47.99'|6
9|'16903.48'|'6759.13'|181|'1202.11'|'70.41'|11.42
10|'5979.56'|'3851.85'|267|'502.44'|'31.19'|2.92
11|'13842.70'|'6234.55'|247|'1908.66'|'75.36'|5.55
