symbol,CEO,employees,HQc,HQs,founded,MC,PER,description,high,low,open,volume,yearHigh,yearLow,tags 

"AAAAA","Mellie Torphy",9246,"South Oleta","South Dakota",2007,904.63,"19.25","Rerum quam maxime sit et hic voluptatibus omnis provident maiores. Autem aut nihil repellendus cupiditate voluptatibus. Aut magnam ratione fugit doloremque quis ipsam dolorum. Molestiae eius sit velit nostrum consectetur reprehenderit adipisci.\n \rSint sint doloremque aut eius laudantium eos corporis veniam dolores. Porro incidunt reiciendis ea nihil. In natus dolore quia. Ullam reiciendis dolore enim sit excepturi blanditiis. Esse accusantium accusamus nemo voluptates quas molestiae enim asperiores.\n \rFugit commodi voluptatem laborum est expedita voluptatibus. Sit recusandae qui autem illum. Et aut enim. Accusamus molestiae officiis optio ducimus sit. Qui non consequatur vel praesentium. Voluptatem ad sint.","203.41",199.14,201.61,"36.21",237.68,174.97,["Oil and Gas","Video Games","Manufacturing","Banking","Technology","Semiconductors","Finance"] 

"AAAAB","Kaylee Goyette",19297,"Hubertfort","Washington",1971,880.76,"22.24","Aperiam qui qui sunt aut blanditiis et. Voluptate harum reprehenderit veritatis. Ut a dolorem sit quia. Enim incidunt tempore totam inventore eaque eos omnis non. Aut aut ducimus ex commodi quas harum dolor dolorem.\n \rAliquam fuga velit voluptas fugit et totam aspernatur. Recusandae sunt et optio quisquam esse iure nobis ullam vitae. Et asperiores labore incidunt. Eveniet veniam in qui quaerat enim perspiciatis sequi qui. Earum iusto dolor nihil.\n \rTotam sunt eos mollitia. Et autem eum voluptate et quos numquam quasi officia. Quia libero occaecati iste dolores neque porro sequi maxime dolores. Sit voluptatem natus. Hic neque magnam aspernatur quia ut. Et voluptatem molestiae quis odio ut cupiditate.","210.60",206.14,208.61,"9.50",244.68,181.97,["Manufacturing","Upcoming Earnings","New On TradeDesk","Health","Oil and Gas","Social Media","Automotive"] 

"AAAAC","Estevan Homenick",5589,"Haneside","Montana",1893,478.55,"57.66","Illum voluptas repellendus quasi non officia velit nam quis recusandae. Harum quia aut eum reprehenderit. Dolores sint iure tenetur odio atque est perspiciatis doloremque nisi. Quisquam voluptatem vel molestias aliquam voluptates molestiae dolorem. Et autem rem voluptates rerum aliquam incidunt sint eos numquam. In nam inventore sit.\n \rConsequuntur similique reiciendis neque. Pariatur deserunt quos fugiat. Quo consequatur blanditiis sed. Qui dolorum sunt est rem.\n \rOmnis mollitia facere quia. Assumenda neque vel fugiat ea deserunt. Non aliquid atque et natus et deleniti aliquam quam laboriosam. Ducimus minima ipsa. Delectus delectus eius consequuntur vel reprehenderit qui velit temporibus. Rem corrupti atque illum enim aperiam eius.","210.08",206.14,208.61,"25.23",244.68,181.97,["Video Games","Software Service","Manufacturing","Consumer Products","Technology","Entertainment","Upcoming Earnings"] 

"AAAAD","Vance Swaniawski Sr.",16325,"Sonnystad","Alaska",1995,461.61,"55.15","Occaecati est sit non et cum in modi numquam officia. Eius vitae quia non quod ut ex. Quisquam accusamus eaque soluta. Odit aliquam qui esse sed minima. Ut consequuntur aut voluptatem.\n \rDicta voluptatibus rerum ut eos quos quae. Voluptatem vel voluptates atque dolore consequatur. In cum rem earum neque velit velit. Repellat beatae maxime voluptatem sint voluptate repudiandae dignissimos omnis atque.\n \rAutem quidem ipsam eum aut impedit aliquid. Assumenda fuga earum perferendis fugiat natus itaque. Sequi quo molestiae ut ab maiores quam.","105.49",101.14,103.61,"5.76",139.68,76.97,["Video Games","Finance","Food","Oil and Gas","Pharmaceutical","Consumer Products","ETF"] 

"AAAAE","Lesly Brakus",2960,"Adamsberg","Florida",1971,342.84,"58.33","Voluptates voluptate aut et. Voluptatibus et et. Labore consequatur repudiandae nesciunt amet voluptatibus. Molestias commodi eligendi aperiam.\n \rA dolores error est et consequuntur minus beatae. Nesciunt ut fugit. Reiciendis veniam iure beatae quos. Fuga aut totam et debitis aliquam et et asperiores aut. Quae numquam at sequi quia.\n \rIncidunt dicta id illum facilis temporibus eum vel. Rerum quas unde. Nulla corrupti harum. Fugit et explicabo omnis rerum quia commodi sit commodi.","184.86",180.14,182.61,"10.24",218.68,155.97,["Health","Social Media","Video Games","Electronic","Technology","Entertainment","Internet"] 

