symbol,CEO,employees,HQc,HQs,founded,MC,PER,description,high,low,open,volume,yearHigh,yearLow,tags
"AAAAJ","Noelia Schroeder",12217,"Sawaynview","Florida",1944,17.35,"76.41","Architecto qui reprehenderit odit culpa placeat ullam. Itaque minus aut possimus mollitia veniam voluptatem voluptate. Tempora consequuntur voluptas delectus autem sed et et culpa beatae. Laborum ea vel quo quos porro. Nisi similique blanditiis omnis. Omnis iste quia at.\n \rQuia dignissimos dicta et facere sit ut occaecati. Reiciendis odio quae autem voluptates odio ea. Velit quod officiis. Deserunt non deserunt illo perspiciatis adipisci. Quisquam a hic sed dolorem rerum numquam assumenda maiores. Rerum adipisci rem.\n \rQuaerat et commodi nihil. Est aut quia asperiores nemo enim expedita maxime quia. Quo cumque inventore est harum molestiae libero rerum placeat. Recusandae fugiat neque accusamus quaerat. Eveniet aperiam et magnam doloribus eos ex.","247.67",243.14,245.61,"1.83",281.68,218.97,["REIT","Food","Banking","Entertainment","Finance","Automotive","Pharmaceutical"]
"AAAAI","Kailyn Upton DVM",16350,"Wiegandstad","North Dakota",2010,41.69,"53.09","Et cumque ea optio odio recusandae quod fuga aut. Sint qui nihil explicabo aut quisquam est asperiores veritatis. Voluptates et fugit qui voluptatem numquam iure deleniti.\n \rNobis qui dolores omnis optio dolorem sequi rerum. Quibusdam suscipit aut quos blanditiis vero voluptatum. Qui sed voluptatem. Beatae doloremque nesciunt magnam vel ipsam ab labore. Magnam accusamus aut asperiores temporibus tempore est.\n \rVoluptate ipsum debitis quia perferendis ratione et voluptatem. Est et expedita esse totam odit eum. Officiis repellat sed consequatur expedita molestiae sed ullam.","116.64",112.14,114.61,"20.74",150.68,87.97,["Finance","Semiconductors","Energy","Technology","Oil and Gas","Upcoming Earnings","Entertainment"]
"AAAAH","Jefferey Rippin",15826,"Evelinehaven","Kansas",1910,262.27,"36.19","In magni dolorum doloremque aut tempore voluptas nihil placeat. Eos quia veniam tempora exercitationem animi nihil tenetur eum. Dolores dolores et pariatur asperiores delectus nesciunt. Perspiciatis excepturi qui veniam autem nihil in rem ipsam. Eum velit et quia perferendis ea eum.\n \rAspernatur esse id laboriosam consectetur ea eos hic quidem voluptatem. Pariatur quibusdam suscipit fuga dolor id rerum at exercitationem rerum. Id excepturi molestiae illum excepturi consequatur voluptas. Eius necessitatibus natus ea nesciunt assumenda soluta.\n \rId esse natus doloribus. Dignissimos illum velit alias illo. Quo aliquid et adipisci consequatur.","125.45",121.14,123.61,"6.34",159.68,96.97,["Pharmaceutical","ETF","Manufacturing","Internet","Automotive","Social Media","Retail"]
"AAAAG","Mrs. Aric Hamill",10813,"Nitzschestad","Kansas",1977,25.57,"33.72","Maxime sed et rerum et hic enim. Doloribus unde cupiditate et ut. Blanditiis aliquam qui totam voluptatem ullam non iusto.\n \rUt ea non hic molestiae alias animi rerum reiciendis quisquam. Possimus quibusdam quasi. Velit excepturi temporibus aut quasi. Eos consequatur amet aut provident in. Ex corporis iusto. Fugiat odio ut qui vero qui earum impedit.\n \rLaboriosam sapiente quas voluptatem rerum consectetur ipsum earum doloribus. Porro saepe deserunt tempore quia sed autem. Incidunt eum iste omnis repudiandae sed est eum. Suscipit voluptate autem. Soluta quis accusantium architecto natus et explicabo ex iure et. Ratione dicta rerum quae est hic repudiandae.","155.04",151.14,153.61,"9.67",189.68,126.97,["Software Service","Internet","Oil and Gas","REIT","Finance","Entertainment","Manufacturing"]
"AAAAF","Presley Champlin",15846,"Gaylordside","Rhode Island",1958,16.58,"13.83","Quae rerum minima saepe illo earum repudiandae. Maxime est dolorem id molestias rerum. Delectus deleniti qui qui molestiae odit.\n \rUllam voluptatibus provident rerum qui sit. Laborum eveniet ipsam minus quaerat. Sed veniam qui a omnis et molestiae natus quos sapiente. Facere enim quam libero dicta necessitatibus numquam.\n \rSed temporibus omnis sed iure consequuntur. Quisquam et dolor. Et voluptas ducimus voluptatibus illum minima eum ea consequuntur. Est excepturi veritatis nihil. Vero quia rerum autem non sint deserunt.","213.41",209.14,211.61,"9.62",247.68,184.97,["Software Service","Energy","Aerospace","Retail","Health","Video Games","New On TradeDesk"]
"AAAAE","Joan Schulist",8735,"Port Kyler","Kentucky",1894,17.66,"59.07","Nulla quasi quos accusantium. Nostrum est id aspernatur quia a voluptatem distinctio. Ullam tempore quidem. Voluptate deleniti eos inventore. Dolorem reprehenderit asperiores. Accusamus et dolores architecto recusandae.\n \rNecessitatibus laudantium saepe. Mollitia omnis reprehenderit ducimus dolore consequuntur. Et non quae ut.\n \rQuae odio dolores. At dolore laboriosam quis hic. Debitis atque ipsum sit temporibus voluptatem neque corrupti eius. Eius dolorem qui quas doloribus repudiandae molestiae ut. Sunt enim dolorum.","199.27",195.14,197.61,"33.46",233.68,170.97,["Electronic","Retail","ETF","Internet","Finance","Automotive","Technology"]
"AAAAD","Mrs. Margaretta Wunsch",4845,"South Diamond","Michigan",2000,904.63,"38.69","Et est quisquam dolorem omnis odit dolorem doloribus. Et error consequuntur possimus. Ex unde odio voluptatum esse. Eaque ut tempora dicta quae quia labore. Magnam tempore vel.\n \rMagnam impedit esse ea explicabo est qui adipisci est. Cumque sit ullam necessitatibus. Eum repudiandae consequatur exercitationem qui voluptas. Consequuntur et adipisci illo velit unde natus dolor consequuntur. Fugit fugiat distinctio in repellat est magni sint.\n \rLabore alias atque corporis error magnam sunt ducimus. Ducimus mollitia tempora et cumque. Provident est nulla facere consequuntur molestias aut dolorem. Nobis rerum rerum non minima.","295.85",291.14,293.61,"1.87",329.68,266.97,["Pharmaceutical","Aerospace","Materials","Automotive","100 Most Popular","Health","Consumer Products"]
"AAAAC","Kathryne Ullrich",15576,"Wehnerville","Delaware",1960,182.09,"87.63","Libero voluptatibus distinctio laboriosam explicabo qui. Modi vel eum et perferendis enim nihil inventore. Voluptatem doloremque totam modi placeat odio tempora ut est expedita. Porro sed eos cum totam aperiam quia earum aut autem. Eum itaque commodi ea.\n \rEx sit et illo dolorum tempora harum dolorem laborum dicta. Qui ipsam cum eligendi similique voluptatum. Temporibus nam qui delectus eligendi a voluptatem delectus vero adipisci. Aut minima temporibus sequi. Voluptate minima commodi expedita. Aut earum aliquid eum aut.\n \rOdio amet fugiat quaerat nam ex. Velit delectus dolores ducimus labore. Rerum provident maxime. Necessitatibus cupiditate quas ducimus veniam aut veniam blanditiis alias.","144.65",140.14,142.61,"27.62",178.68,115.97,["Automotive","Social Media","Manufacturing","Oil and Gas","Retail","Upcoming Earnings","Energy"]
"AAAAB","Sarah Christiansen",19935,"Larsonstad","New Hampshire",1988,64.43,"53.38","Officia nemo laborum esse autem repellat delectus laudantium ut. Sed sint et non sed iure atque temporibus. Explicabo soluta aut. Asperiores laudantium suscipit animi odit aut illum. Voluptatem fugiat laboriosam ipsum quia corporis a nihil. Exercitationem delectus aut et ratione natus fugiat quos.\n \rExercitationem modi non ea et. At animi expedita. Voluptas iusto molestiae fugiat beatae consequuntur debitis. Voluptas sunt eos sapiente facilis nam repellat.\n \rEum corrupti animi dignissimos numquam a cumque quo. Qui perferendis eum voluptatem quod modi ipsam qui omnis. Doloribus perspiciatis et non cumque est et. Totam sed enim ut. Sed laboriosam nulla illo totam dolor numquam iure vitae.","226.73",222.14,224.61,"29.07",260.68,197.97,["Finance","Consumer Products","Social Media","Semiconductors","Technology","Internet","Automotive"]
"AAAAA","Austin Murphy",9643,"South Shaynastad","Minnesota",1992,143.28,"27.66","A assumenda possimus qui voluptates. Sapiente doloremque sunt ex cupiditate nihil temporibus. Libero pariatur sapiente cumque sed et. Sed est itaque qui impedit possimus expedita.\n \rEst consequatur quo. Suscipit qui qui tempore. Est consequuntur ab debitis rerum unde provident numquam at. Officia vitae odio possimus ad occaecati minima voluptatum. Sed magni nihil quod aspernatur.\n \rRepudiandae error sed sed fugiat repudiandae quia. Eaque quos esse et sit culpa provident. Perspiciatis ea est sint.","221.27",217.14,219.61,"37.89",255.68,192.97,["Semiconductors","Food","Electronic","Aerospace","Pharmaceutical","Consumer Products","Software Service"]
