symbol,CEO,employees,HQc,HQs,founded,MC,PER,description,high,low,open,volume,yearHigh,yearLow
'AAAAJ','Sydnee Bernier IV',6816,'Hahnfort','Nebraska',1989,77.77,'77.18','Error at quia sit. Nam quae fugit. Repellendus at sunt. Occaecati illo commodi occaecati. Vel suscipit aut quo cum sit sed repellat est. Ea vitae vero eum et est iusto. Aut facere earum incidunt. Laudantium accusamus fugit adipisci a delectus et et.','266.92',262.14,264.61,'38.21',300.68,237.97
'AAAAI','Anibal Conroy',11473,'Cindyside','Rhode Island',1888,59.66,'26.53','Provident voluptas repellendus aperiam quia laudantium dolores non ipsum non. Minima nihil qui vero modi et aut. Et ex non qui odio at labore mollitia enim dolorem. Totam exercitationem laudantium quasi deleniti asperiores nobis similique. A a sed dignissimos voluptatem accusamus. Hic enim voluptates itaque. Optio et delectus autem. Suscipit commodi in debitis quis sequi.','190.68',186.14,188.61,'31.39',224.68,161.97
'AAAAH','Daisha Grant',11195,'Binsberg','Ohio',2002,25.57,'60.94','Libero impedit non. Ab culpa dolorem iusto. Sunt cupiditate accusamus aperiam consequatur dolor tempora quia aut ab. Voluptatem commodi omnis sint temporibus eos explicabo eius sequi. Autem dolore et officiis beatae quaerat cumque autem quidem rerum. Ab itaque sunt voluptatem voluptatem beatae sint rerum. Quia quia et error asperiores culpa dolor pariatur incidunt. Magni voluptatibus distinctio ab.','273.16',269.14,271.61,'35.31',307.68,244.97
'AAAAG','Charlie Ortiz',1599,'Lakinton','New York',1894,40.02,'57.95','Deleniti ratione quibusdam reprehenderit ut sed. Quae occaecati saepe dolores illo minus dolorem. Reprehenderit vel maxime inventore. Eveniet qui quasi dolorem quis ad omnis dolore officia. Dolor iure voluptatibus hic qui modi quia. Eum enim libero eos eos laboriosam nihil et. Temporibus quam error quam maiores quo praesentium nulla nulla nesciunt. Ab voluptate amet omnis quod facere explicabo ex odit.','256.33',252.14,254.61,'33.56',290.68,227.97
'AAAAF','Shanelle Considine',13401,'North Delaneystad','Utah',1959,240.32,'40.10','Voluptas illum debitis vitae porro quo maiores repellendus. Optio omnis doloremque. Aut doloremque aut distinctio molestias qui unde dolor et quibusdam. Sit laborum perferendis provident sed. Ipsa quos totam molestiae porro perferendis. Autem ut eos architecto iste consequatur. Minima omnis cum eos. Consequatur accusantium enim odio exercitationem aut sint veniam debitis.','162.55',158.14,160.61,'5.52',196.68,133.97
'AAAAE','Alysha Feest',6282,'O'Konburgh','Michigan',1930,87.96,'40.74','Rem incidunt optio et quo nam dolorem fugit. Sed dolores autem laudantium et voluptas facere. Et vel velit quibusdam accusantium quibusdam. Ut at molestiae dicta itaque. Ea ut aliquam. Dolore reprehenderit ut non harum. Perspiciatis a et unde et quia culpa natus laboriosam aliquid. Ut eius maiores.','245.28',241.14,243.61,'4.21',279.68,216.97
'AAAAD','Lucinda Heaney',2761,'Hyattfurt','Illinois',1949,341.2,'36.81','Aliquam deserunt praesentium illo harum. Tempora veniam itaque rerum eos omnis alias. Velit porro voluptas est iusto officia officiis autem doloribus itaque. Doloribus provident accusantium aut cum. Eum accusamus fuga eligendi et unde voluptatem mollitia. Et velit omnis saepe quidem. Accusamus et provident magnam quia. Eligendi blanditiis est mollitia porro illo.','89.06',85.14,87.61,'13.32',123.68,60.97
'AAAAC','Marielle Smith',8910,'Port Beulah','Michigan',1904,34.64,'37.08','Et sint officiis quibusdam rerum tenetur consequatur non. Autem placeat deleniti. Laudantium ullam voluptatibus natus quia. Et quod aut. Quaerat aut id iste. Earum suscipit incidunt laboriosam quisquam nemo omnis. Nemo nulla eaque molestias laborum ea. Et sunt similique possimus quidem libero qui.','226.91',222.14,224.61,'16.92',260.68,197.97
'AAAAB','Magnolia Borer',19067,'Odieside','South Dakota',1935,14.83,'33.06','Suscipit molestiae id. Possimus qui repellendus harum harum ipsa impedit recusandae consequatur. Quia dolorem voluptatem deserunt. Non non dicta iusto. Omnis aperiam rerum illo ut est est iure omnis ut. Pariatur est quidem nesciunt suscipit. Consequatur possimus corrupti. Voluptatum nihil voluptatem.','117.27',113.14,115.61,'20.98',151.68,88.97
'AAAAA','Zoey Leuschke',5485,'Lomamouth','Montana',1996,143.28,'25.73','Beatae repellat et eveniet aut repudiandae quos alias dolor. Magni voluptatum eum odio culpa praesentium repellat quis molestiae. Qui consequatur accusamus. Iste dolorem vitae quas dolorum vel laborum quidem. Ut sint nihil doloremque enim eum voluptatem est nemo. Reprehenderit neque dolores neque. Aperiam dolor nostrum deleniti. Ut enim et quae qui rerum a.','246.92',242.14,244.61,'3.53',280.68,217.97
